GridID,X_Lon,Y_Lat,M8H_O3
326,110.35,20.05,77.0
327,110.45,20.05,75.0
328,110.55,20.05,76.0
329,110.65,20.05,75.0
330,110.75,20.05,74.0
331,110.65,20.15,76.0
332,109.95,20.25,81.0
333,110.05,20.25,78.0
334,110.15,20.25,75.0
335,110.25,20.25,75.0
336,110.35,20.25,76.0
337,109.85,20.35,81.0
338,109.95,20.35,81.0
339,110.05,20.35,79.0
340,110.15,20.35,76.0
341,110.25,20.35,75.0
342,110.35,20.35,77.0
343,110.45,20.35,78.0
344,109.85,20.45,84.0
345,109.95,20.45,80.0
346,110.05,20.45,78.0
347,110.15,20.45,78.0
348,110.25,20.45,78.0
349,110.35,20.45,80.0
350,110.45,20.45,80.0
351,110.55,20.45,82.0
352,109.85,20.55,79.0
353,109.95,20.55,78.0
354,110.05,20.55,78.0
355,110.15,20.55,81.0
356,110.25,20.55,84.0
357,110.35,20.55,84.0
358,110.45,20.55,85.0
359,109.75,20.65,82.0
360,109.85,20.65,79.0
361,109.95,20.65,78.0
362,110.05,20.65,78.0
363,110.15,20.65,80.0
364,110.25,20.65,82.0
365,110.35,20.65,85.0
366,110.45,20.65,84.0
367,109.75,20.75,82.0
368,109.85,20.75,80.0
369,109.95,20.75,79.0
370,110.05,20.75,80.0
371,110.15,20.75,81.0
372,110.25,20.75,85.0
373,110.35,20.75,89.0
374,109.65,20.85,89.0
375,109.75,20.85,86.0
376,109.85,20.85,80.0
377,109.95,20.85,78.0
378,110.05,20.85,79.0
379,110.15,20.85,84.0
380,110.25,20.85,86.0
381,110.35,20.85,90.0
384,109.65,20.95,88.0
385,109.75,20.95,84.0
386,109.85,20.95,80.0
387,109.95,20.95,78.0
388,110.05,20.95,80.0
389,110.15,20.95,83.0
390,110.25,20.95,85.0
391,110.35,20.95,91.0
392,110.45,20.95,91.0
393,110.55,20.95,91.0
403,109.65,21.05,87.0
404,109.75,21.05,82.0
405,109.85,21.05,80.0
406,109.95,21.05,80.0
407,110.05,21.05,80.0
408,110.15,21.05,81.0
409,110.25,21.05,83.0
410,110.35,21.05,87.0
411,110.45,21.05,90.0
412,110.55,21.05,91.0
420,101.75,21.15,66.0
423,109.65,21.15,87.0
424,109.75,21.15,82.0
425,109.85,21.15,80.0
426,109.95,21.15,80.0
427,110.05,21.15,80.0
428,110.15,21.15,81.0
429,110.25,21.15,83.0
430,110.35,21.15,86.0
431,110.45,21.15,89.0
432,110.55,21.15,90.0
435,101.25,21.25,70.0
436,101.35,21.25,70.0
437,101.45,21.25,67.0
439,101.65,21.25,66.0
440,101.75,21.25,63.0
443,109.75,21.25,81.0
444,109.85,21.25,80.0
445,109.95,21.25,80.0
446,110.05,21.25,80.0
447,110.15,21.25,81.0
448,110.25,21.25,82.0
449,110.35,21.25,84.0
450,110.45,21.25,88.0
451,110.55,21.25,89.0
452,110.65,21.25,89.0
465,101.25,21.35,64.0
466,101.35,21.35,64.0
467,101.45,21.35,64.0
468,101.55,21.35,64.0
469,101.65,21.35,61.0
474,109.85,21.35,81.0
475,109.95,21.35,81.0
476,110.05,21.35,81.0
477,110.15,21.35,81.0
478,110.25,21.35,81.0
479,110.35,21.35,84.0
480,110.45,21.35,84.0
481,110.55,21.35,86.0
482,110.65,21.35,88.0
483,110.75,21.35,88.0
484,110.85,21.35,89.0
498,101.25,21.45,61.0
499,101.35,21.45,62.0
500,101.45,21.45,61.0
501,101.55,21.45,62.0
502,101.65,21.45,59.0
503,101.75,21.45,58.0
506,109.05,21.45,92.0
507,109.15,21.45,92.0
508,109.25,21.45,90.0
509,109.35,21.45,89.0
510,109.45,21.45,86.0
511,109.85,21.45,81.0
512,109.95,21.45,82.0
513,110.05,21.45,82.0
514,110.15,21.45,81.0
515,110.25,21.45,81.0
516,110.35,21.45,82.0
517,110.45,21.45,82.0
518,110.55,21.45,84.0
519,110.65,21.45,86.0
520,110.75,21.45,87.0
521,110.85,21.45,88.0
522,110.95,21.45,91.0
523,111.05,21.45,88.0
524,111.15,21.45,89.0
525,111.25,21.45,90.0
526,111.35,21.45,90.0
530,100.15,21.55,90.0
531,100.25,21.55,87.0
532,100.35,21.55,82.0
533,100.45,21.55,77.0
534,100.55,21.55,77.0
535,100.65,21.55,79.0
541,101.25,21.55,61.0
542,101.35,21.55,60.0
543,101.45,21.55,61.0
544,101.55,21.55,59.0
545,101.65,21.55,59.0
546,101.75,21.55,58.0
554,107.95,21.55,92.0
555,108.05,21.55,94.0
556,108.15,21.55,94.0
557,108.25,21.55,94.0
559,108.45,21.55,94.0
560,109.15,21.55,90.0
561,109.25,21.55,88.0
562,109.35,21.55,87.0
563,109.45,21.55,86.0
564,109.55,21.55,85.0
565,109.65,21.55,84.0
566,109.75,21.55,83.0
567,109.85,21.55,81.0
568,109.95,21.55,81.0
569,110.05,21.55,81.0
570,110.15,21.55,81.0
571,110.25,21.55,82.0
572,110.35,21.55,83.0
573,110.45,21.55,83.0
574,110.55,21.55,84.0
575,110.65,21.55,84.0
576,110.75,21.55,85.0
577,110.85,21.55,86.0
578,110.95,21.55,88.0
579,111.05,21.55,87.0
580,111.15,21.55,86.0
581,111.25,21.55,87.0
582,111.35,21.55,88.0
583,111.45,21.55,90.0
584,111.55,21.55,86.0
585,111.65,21.55,91.0
586,111.85,21.55,92.0
591,100.25,21.65,86.0
592,100.35,21.65,81.0
593,100.45,21.65,79.0
594,100.55,21.65,76.0
595,100.65,21.65,77.0
596,100.75,21.65,74.0
601,101.25,21.65,61.0
602,101.35,21.65,61.0
603,101.45,21.65,60.0
604,101.55,21.65,59.0
605,101.65,21.65,58.0
606,101.75,21.65,58.0
614,107.55,21.65,84.0
615,107.65,21.65,85.0
616,107.75,21.65,86.0
617,107.85,21.65,87.0
618,107.95,21.65,89.0
619,108.05,21.65,91.0
620,108.15,21.65,92.0
621,108.25,21.65,92.0
622,108.35,21.65,91.0
623,108.45,21.65,92.0
624,108.55,21.65,93.0
625,108.75,21.65,93.0
626,108.85,21.65,93.0
627,108.95,21.65,91.0
628,109.05,21.65,90.0
629,109.15,21.65,87.0
630,109.25,21.65,87.0
631,109.35,21.65,86.0
632,109.45,21.65,86.0
633,109.55,21.65,86.0
634,109.65,21.65,84.0
635,109.75,21.65,84.0
636,109.85,21.65,83.0
637,109.95,21.65,82.0
638,110.05,21.65,82.0
639,110.15,21.65,83.0
640,110.25,21.65,85.0
641,110.35,21.65,84.0
642,110.45,21.65,84.0
643,110.55,21.65,84.0
644,110.65,21.65,85.0
645,110.75,21.65,85.0
646,110.85,21.65,88.0
647,110.95,21.65,90.0
648,111.05,21.65,84.0
649,111.15,21.65,84.0
650,111.25,21.65,85.0
651,111.35,21.65,83.0
652,111.45,21.65,84.0
653,111.55,21.65,83.0
654,111.65,21.65,86.0
655,111.75,21.65,89.0
656,111.85,21.65,91.0
657,111.95,21.65,90.0
658,112.05,21.65,89.0
659,112.15,21.65,89.0
663,100.05,21.75,90.0
664,100.15,21.75,90.0
665,100.25,21.75,86.0
666,100.35,21.75,83.0
667,100.45,21.75,79.0
668,100.55,21.75,79.0
669,100.65,21.75,73.0
670,100.75,21.75,71.0
671,100.85,21.75,69.0
672,100.95,21.75,66.0
673,101.05,21.75,63.0
674,101.15,21.75,61.0
675,101.25,21.75,62.0
676,101.35,21.75,60.0
677,101.45,21.75,59.0
678,101.55,21.75,58.0
679,101.65,21.75,59.0
687,107.25,21.75,84.0
688,107.35,21.75,83.0
689,107.45,21.75,83.0
690,107.55,21.75,84.0
691,107.65,21.75,85.0
692,107.75,21.75,85.0
693,107.85,21.75,87.0
694,107.95,21.75,89.0
695,108.05,21.75,90.0
696,108.15,21.75,91.0
697,108.25,21.75,92.0
698,108.35,21.75,91.0
699,108.45,21.75,92.0
700,108.55,21.75,93.0
701,108.65,21.75,92.0
702,108.75,21.75,93.0
703,108.85,21.75,91.0
704,108.95,21.75,91.0
705,109.05,21.75,89.0
706,109.15,21.75,88.0
707,109.25,21.75,87.0
708,109.35,21.75,87.0
709,109.45,21.75,86.0
710,109.55,21.75,86.0
711,109.65,21.75,86.0
712,109.75,21.75,85.0
713,109.85,21.75,85.0
714,109.95,21.75,85.0
715,110.05,21.75,85.0
716,110.15,21.75,85.0
717,110.25,21.75,85.0
718,110.35,21.75,84.0
719,110.45,21.75,85.0
720,110.55,21.75,85.0
721,110.65,21.75,85.0
722,110.75,21.75,85.0
723,110.85,21.75,86.0
724,110.95,21.75,84.0
725,111.05,21.75,85.0
726,111.15,21.75,84.0
727,111.25,21.75,83.0
728,111.35,21.75,82.0
729,111.45,21.75,83.0
730,111.55,21.75,84.0
731,111.65,21.75,85.0
732,111.75,21.75,86.0
733,111.85,21.75,88.0
734,111.95,21.75,87.0
735,112.05,21.75,86.0
736,112.15,21.75,86.0
